object,type,reason
0x1d8b60,weapon,Bond walks through it
0x1d8be8,weapon,Bond walks through it
0x1d8c70,weapon,Bond walks through it
0x1d8cf8,weapon,Bond walks through it
0x1d8d80,weapon,Bond walks through it
0x1d8e08,weapon,Bond walks through it
0x1d8e90,key,Bond walks through it
0x1d904c,generic,Bond walks through it
0x1d9184,generic,Bond walks through it
0x1dc1f4,weapon,Bond walks through it
0x1dc290,weapon,Bond walks through it
0x1dc338,generic,Bond walks through it
0x1d8f3c,generic,no collision outline in the data
0x1db7ec,camera,no collision outline in the data
0x1db8e8,camera,no collision outline in the data
0x1db9e4,camera,no collision outline in the data
0x1dbae0,camera,no collision outline in the data
0x1dbbdc,camera,no collision outline in the data
0x1dbcd8,camera,no collision outline in the data
0x1dbdc4,drone,no collision outline in the data
0x1dbe9c,drone,no collision outline in the data
0x1dbf74,drone,no collision outline in the data
0x1dc414,monitor,no collision outline in the data
0x1dc524,monitor,no collision outline in the data
0x1dc634,monitor,no collision outline in the data
0x1dc744,monitor,no collision outline in the data
0x1dc854,monitor,no collision outline in the data
0x1dc964,monitor,no collision outline in the data
0x1dca74,monitor,no collision outline in the data
0x1dcb84,monitor,no collision outline in the data
0x1dcc94,monitor,no collision outline in the data
0x1dcda4,monitor,no collision outline in the data
0x1dceb4,monitor,no collision outline in the data
0x1dcfc4,monitor,no collision outline in the data
0x1dd0d4,monitor,no collision outline in the data
0x1dd1e4,monitor,no collision outline in the data
0x1dd2f4,monitor,no collision outline in the data
0x1dd404,monitor,no collision outline in the data
0x1dd514,monitor,no collision outline in the data
0x1dd624,monitor,no collision outline in the data
0x1dd734,monitor,no collision outline in the data
0x1dd844,monitor,no collision outline in the data
0x1dd954,monitor,no collision outline in the data
0x1dda54,monitor,no collision outline in the data
0x1dded4,monitor,no collision outline in the data
0x1dfa14,generic,no collision outline in the data
0x1dfa94,generic,no collision outline in the data
0x1dfb14,generic,no collision outline in the data
0x1dfba4,generic,no collision outline in the data
0x1dfc24,monitor,no collision outline in the data
0x1dfd24,monitor,no collision outline in the data
0x1dfe24,monitor,no collision outline in the data
0x1dff34,monitor,no collision outline in the data
