gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,52.689,28.70,513,1260,3874,0x37,generic 0x1dec64 (preset 0x0020),generic 0x1def7c (preset 0x0023),0x1dec64 0x1def7c,,4,0x1dec64.0 | 0x1def7c.2
2,,warp,52.688,28.71,513,1446,3719,0x37,generic 0x1ded6c (preset 0x0021),generic 0x1dee74 (preset 0x0022),0x1ded6c 0x1dee74,,4,0x1ded6c.0 | 0x1dee74.2
3,,warp,48.180,36.36,333,-1315,931,0x0b,wall of tile 00EE10 (room 0x0b),generic 0x1df614 (preset 0x2723),0x1df614,,4,00EE10.1 | 0x1df614.3
4,,warp,48.180,36.36,335,-1315,528,0x0b,wall of tile 089D10 (room 0x0b),generic 0x1df494 (preset 0x2720),0x1df494,,4,089D10.1 | 0x1df494.0
5,,warp,45.030,40.75,332,-1783,931,0x0b,wall of tile 010710 (room 0x0b),generic 0x1df514 (preset 0x2721),0x1df514,,4,010710.1 | 0x1df514.4
6,,warp,45.030,40.75,327,-1783,528,0x0b,wall of tile 08A710 (room 0x0b),generic 0x1df394 (preset 0x271e),0x1df394,,4,08A710.1 | 0x1df394.0
7,,warp,0.00024,69.27,none found,528,2937,0x33,door 0x1d9eac (preset 0x005c),door 0x1d9fac (preset 0x005d),0x1d9eac 0x1d9fac,,9,0x1d9eac.0 | 0x1d9fac.0
8,,warp,0.00024,69.27,none found,-2409,2478,0x25,door 0x1da6ac (preset 0x0066),door 0x1da7ac (preset 0x0067),0x1da6ac 0x1da7ac,,7,0x1da6ac.0 | 0x1da7ac.1
9,,warp,0.000061,69.27,none found,910,4769,0x2f,door 0x1daaac (preset 0x006a),door 0x1dabac (preset 0x006b),0x1daaac 0x1dabac,,9,0x1daaac.2 | 0x1dabac.1
10,bond cell door,warp,7.417,78.44,none found,-3423,4769,0x28,wall of tile 0AF611 (room 0x28),door 0x1dadcc (preset 0x0064),0x1dadcc,,3,0AF611.2 | 0x1dadcc.1
11,,warp,6.211,78.67,none found,-3001,4765,0x29,wall of tile 0AFB11 (room 0x29),door 0x1daedc (preset 0x0065),0x1daedc,,2,0AFB11.1 | 0x1daedc.1
12,,warp,7.417,91.67,none found,-3523,4765,0x28,wall of tile 0AF612 (room 0x28),door 0x1dadcc (preset 0x0064),0x1dadcc,,3,0AF612.2 | 0x1dadcc.0
13,,warp,5.563,91.89,none found,-3101,4769,0x29,wall of tile 0AFB12 (room 0x29),door 0x1daedc (preset 0x0065),0x1daedc,,3,0AFB12.2 | 0x1daedc.0
14,TAS closed end door warp,warp,0.0000038,102.53,none found,-35,-2461,0x04,wall of tile 016601 (room 0x04),door 0x1dacac (preset 0x006c),0x1dacac,,4,016601.1 | 0x1dacac.0
15,TAS documents warp in,warp,27.813,110.77,none found,-2253,2725,0x0a,wall of tile 06EE12 (room 0x0a),door 0x1d9bac (preset 0x0059),0x1d9bac,,3,06EE12.1 | 0x1d9bac.0
16,TAS documents warp out,warp,27.813,110.77,none found,-2253,2977,0x0a,wall of tile 06EE11 (room 0x0a),door 0x1d9aac (preset 0x0058),0x1d9aac,,3,06EE11.0 | 0x1d9aac.0
17,,warp,58.050,139.05,427,-630,3983,0x1b,wall of tile 0B0A11 (room 0x1b),generic 0x1df294 (preset 0x271a),0x1df294,,2,0B0A11.0 | 0x1df294.2
18,,warp,33.376,213.53,550,-617,4396,0x1a,wall of tile 0B0E11 (room 0x1a),safe 0x1dc04c (preset 0x2759),0x1dc04c,,1,0B0E11.0 | 0x1dc04c.0
19,,warp if objects removed,34.837,55.27,261,62,-558,0x01,door 0x1db1dc (preset 0x0000),door 0x1db3dc (preset 0x0002),0x1db1dc 0x1db3dc,0x1db2dc,38,000102.2 | 0x1db1dc.2
20,,no warp found,22.182,,,-1235,3134,0x2b,wall of tile 036B19 (room 0x2b),generic 0x1de354 (preset 0x2739),0x1de354,,2,036B19.0 | 0x1de354.4
21,,no warp found,42.599,,,965,-504,0x08,wall of tile 048508 (room 0x08),generic 0x1df794 (preset 0x272f),0x1df794,,2,048508.0 | 0x1df794.2
22,,no warp found,51.912,,,-1582,2644,0x2b,wall of tile 036819 (room 0x2b),generic 0x1d8fbc (preset 0x2732),0x1d8fbc,,2,036819.4 | 0x1d8fbc.0
