x,z,between,and
42,-9,wall of tile 016619 (room 0x27),door 0x1ec4b0 (preset 0x0006)
42,-18,wall of tile 015119 (room 0x27),door 0x1ec4b0 (preset 0x0006)
-42,-9,wall of tile 01661A (room 0x27),door 0x1ec4b0 (preset 0x0006)
-141,-2214,wall of tile 014E1A (room 0x24),door 0x1ec5c0 (preset 0x0007)
-141,-2196,wall of tile 014E1A (room 0x24),door 0x1ec5c0 (preset 0x0007)
141,-2214,wall of tile 014F19 (room 0x24),door 0x1ec8c0 (preset 0x000a)
141,-2196,wall of tile 014F19 (room 0x24),door 0x1ec8c0 (preset 0x000a)
-42,0,wall of tile 26CB02 (room 0x0f),door 0x1ec4b0 (preset 0x0006)
-11516,-14914,wall of tile 31AD00 (room 0x05),door 0x1ebdb0 (preset 0x002c)
-11519,-14908,wall of tile 27F301 (room 0x18),door 0x1ebdb0 (preset 0x002c)
-11596,-14943,wall of tile 27F302 (room 0x18),door 0x1ebdb0 (preset 0x002c)
-11593,-14950,wall of tile 31AC00 (room 0x05),door 0x1ebdb0 (preset 0x002c)
5503,-18121,wall of tile 281C01 (room 0x10),door 0x1eb8b0 (preset 0x0027)
5503,-18204,wall of tile 281C02 (room 0x10),door 0x1eb8b0 (preset 0x0027)
5503,-18204,wall of tile 281C02 (room 0x10),door 0x1eb8b0 (preset 0x0027)
5496,-18121,wall of tile 27ED01 (room 0x1e),door 0x1eb8b0 (preset 0x0027)
5497,-18204,wall of tile 27ED02 (room 0x1e),door 0x1eb8b0 (preset 0x0027)
6309,-19258,wall of tile 281801 (room 0x10),door 0x1eb7b0 (preset 0x0026)
6309,-19252,wall of tile 281801 (room 0x10),door 0x1eb7b0 (preset 0x0026)
6392,-19252,wall of tile 281802 (room 0x10),door 0x1eb7b0 (preset 0x0026)
6392,-19258,wall of tile 27EE02 (room 0x1d),door 0x1eb7b0 (preset 0x0026)
6258,-19423,wall of tile 279300 (room 0x1d),generic 0x1eaf40 (preset 0x2745)
6258,-19423,wall of tile 279300 (room 0x1d),generic 0x1eaf40 (preset 0x2745)
