between,and,width,kept,reason,because_of
wall of tile 016619 (room 0x27),wall of tile 01A418 (room 0x27),46.678,no,the line between them touches another wall,wall of tile 015119 (room 0x27)
wall of tile 016619 (room 0x27),wall of tile 1DD201 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB01 (room 0x0f)
wall of tile 016619 (room 0x27),wall of tile 1DC702 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB01 (room 0x0f)
wall of tile 016619 (room 0x27),wall of tile 1DC701 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB01 (room 0x0f)
wall of tile 016619 (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1e1520 (preset 0x0006)
wall of tile 016619 (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 016619 (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 26CB01 (room 0x0f)
wall of tile 015119 (room 0x27),wall of tile 26CB01 (room 0x0f),17.603,no,the line between them touches another wall,wall of tile 016619 (room 0x27)
wall of tile 015119 (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1e1520 (preset 0x0006)
wall of tile 015119 (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 015119 (room 0x27),door 0x1e1520 (preset 0x0006),17.603,no,the line between them touches another wall,door 0x1e1520 (preset 0x0006)
wall of tile 01661A (room 0x27),wall of tile 01A218 (room 0x27),46.678,no,the line between them touches another wall,wall of tile 01511A (room 0x27)
wall of tile 01661A (room 0x27),wall of tile 1DD202 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB02 (room 0x0f)
wall of tile 01661A (room 0x27),wall of tile 1DC801 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB02 (room 0x0f)
wall of tile 01661A (room 0x27),wall of tile 1DC801 (room 0x0f),53.267,no,the line between them touches another wall,wall of tile 26CB02 (room 0x0f)
wall of tile 01661A (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01661A (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 01511A (room 0x27)
wall of tile 01661A (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,the line between them touches another wall,door 0x1e1520 (preset 0x0006)
wall of tile 01511A (room 0x27),wall of tile 26CB02 (room 0x0f),17.603,no,the line between them touches another wall,wall of tile 01661A (room 0x27)
wall of tile 01511A (room 0x27),door 0x1e1520 (preset 0x0006),17.603,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01511A (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 01661A (room 0x27)
wall of tile 01511A (room 0x27),door 0x1e1520 (preset 0x0006),0.000,no,"another wall pokes into the space between them, so a tighter pair covers this gap",door 0x1e1520 (preset 0x0006)
wall of tile 01511A (room 0x27),door 0x1e1520 (preset 0x0006),17.603,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01A418 (room 0x27),door 0x1e1520 (preset 0x0006),46.678,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 015119 (room 0x27)
wall of tile 01A418 (room 0x27),door 0x1e1520 (preset 0x0006),46.678,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 015119 (room 0x27)
wall of tile 01A418 (room 0x27),door 0x1e1520 (preset 0x0006),46.678,no,"the line between them leaves the walkable area (a wall's thickness, or another floor)",
wall of tile 01A218 (room 0x27),door 0x1e1520 (preset 0x0006),46.678,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 01511A (room 0x27)
wall of tile 01A218 (room 0x27),door 0x1e1520 (preset 0x0006),46.678,no,"another wall pokes into the space between them, so a tighter pair covers this gap",wall of tile 01511A (room 0x27)
