object,type,reason
0x1dbe14,ammo,Bond walks through it
0x1dde3c,key,Bond walks through it
0x1de1e8,ammo,Bond walks through it
0x1de29c,ammo,Bond walks through it
0x1de650,weapon,Bond walks through it
0x1de6d8,ammo,Bond walks through it
0x1de934,generic,Bond walks through it
0x1e17b0,lock,Bond walks through it
0x1e1840,lock,Bond walks through it
0x1e18d0,lock,Bond walks through it
0x1e1960,lock,Bond walks through it
0x1dbb14,generic,no collision outline in the data
0x1dbb94,generic,no collision outline in the data
0x1dbc14,generic,no collision outline in the data
0x1dbc94,glass,no collision outline in the data
0x1dc348,generic,no collision outline in the data
0x1dd8c8,camera,no collision outline in the data
0x1dd9b4,alarm,no collision outline in the data
0x1dda34,drone,no collision outline in the data
0x1ddcac,monitor,no collision outline in the data
0x1dddac,generic,no collision outline in the data
0x1e1730,generic,no collision outline in the data
0x1e17c0,generic,no collision outline in the data
0x1e1850,generic,no collision outline in the data
0x1e18e0,generic,no collision outline in the data
0x1dea00,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dea94,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1deb28,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1debbc,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dec50,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dece4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1ded78,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dee0c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1deea0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1def34,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1defc8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df05c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df0f0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df184,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df218,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df2ac,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df340,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df3d4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df468,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df4fc,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df590,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df624,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df6b8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df74c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df7e0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df874,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df908,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1df99c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfa30,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfac4,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfb58,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfbec,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfc80,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfd14,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfda8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfe3c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfed0,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dff64,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1dfff8,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1e008c,glass,"outside the walkable area: seen from above, no part of it is over the floor"
0x1e0120,glass,"outside the walkable area: seen from above, no part of it is over the floor"
